Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
335748,360000.0,71.07,-19.919211999999998,-43.98543799999999,3,2,1,2,300.0,107.62,noroeste,Padre Eustáquio,None,288,,
358534,360000.0,75.58,-19.869587600000003,-43.93328109999999,3,1,1,2,390.0,171.85,nordeste,Palmares,None,288,,
1080877,360000.0,78.61,-19.8771074,-43.922392599999974,3,3,1,2,150.0,103.0,nordeste,União,None,288,,
3241410,360000.0,68.0,-19.957413600000002,-43.98197949999997,3,2,1,1,340.0,86.9,oeste,Palmeiras,None,288,,
3255509,360000.0,70.0,-19.924727100000002,-43.995921700000004,3,2,1,2,600.0,46.51,noroeste,Dom Cabral,None,288,,
3258449,360000.0,75.0,-19.9021038,-43.97327840000003,3,2,1,2,160.0,79.0,noroeste,Caiçaras,None,288,,
343068,368000.0,68.0,-19.9121387,-43.98082120000004,3,2,1,1,467.0,78.1,noroeste,Padre Eustáquio,None,288,,
3254758,369000.0,140.0,-19.9112649,-43.932911200000035,3,1,0,1,230.0,99.0,leste,Floresta,None,288,,
276517,370000.0,62.0,-19.9722284,-43.97502659999998,3,1,1,2,0.0,0.0,oeste,Buritis,None,288,,
3254601,370000.0,80.0,-19.872038800000002,-43.91388069999999,3,2,1,2,100.0,134.0,nordeste,Fernão Dias,None,288,,
3261075,370000.0,70.42,-19.9305622,-43.965073200000006,2,1,0,1,455.92,89.1,oeste,Prado,None,288,,
3234861,373896.0,54.0,-19.9177217,-43.98725580000002,2,2,1,2,1.0,1.0,noroeste,Padre Eustáquio,None,288,,
3241976,373896.0,54.0,-19.918482,-43.98765449999996,2,2,1,2,1.0,1.0,noroeste,Padre Eustáquio,None,289,,
3234384,375000.0,86.54,-19.9426118,-43.97370999999998,3,3,1,2,270.0,127.03,oeste,Jardim América,None,289,,
3251231,375000.0,95.0,-19.921198999999998,-43.971094,3,2,1,1,300.0,144.0,noroeste,Padre Eustáquio,None,289,,
48630,380000.0,90.0,-19.9496216,-43.94712419999996,3,1,1,1,500.0,100.0,centro-sul,Santo Antônio,None,289,,
3242556,380000.0,84.17,-19.893991,-43.9966814,3,3,1,2,290.0,142.56,pampulha,Manacás,None,289,,
3254033,380000.0,84.0,-19.834032,-43.962462000000016,3,2,1,1,250.0,129.0,pampulha,Itapoã,None,289,,
3257525,380000.0,77.0,-19.906331899999998,-43.92923769999999,3,3,1,2,230.0,82.0,leste,Sagrada Família,None,289,,
3257543,380000.0,77.0,-19.906331899999998,-43.92923769999999,3,3,1,2,230.0,82.0,leste,Sagrada Família,None,289,,
148160,390000.0,100.0,-19.8899017,-43.90907600000003,3,2,1,2,250.0,65.0,venda-nova,Ana Lúcia,None,289,,
344271,390000.0,93.0,-19.892813600000004,-43.93254039999999,3,2,1,2,250.0,58.03,nordeste,Silveira,None,289,,
614014,390000.0,69.67,-19.936624600000002,-43.975021700000006,2,2,1,2,300.0,88.15,oeste,Nova Suíssa,None,289,,
2475769,390000.0,76.44,-19.9799187,-44.01301489999997,3,2,1,1,200.0,145.32,barreiro,Barreiro de Baixo,None,289,,
3213204,390000.0,80.0,-19.964062300000002,-43.96417320000001,3,2,1,2,384.0,90.0,oeste,Estoril,None,289,,
3257527,390000.0,77.0,-19.906331899999998,-43.92923769999999,3,3,1,2,230.0,82.0,leste,Sagrada Família,None,290,,
3257558,390000.0,77.0,-19.906331899999998,-43.92923769999999,3,3,1,2,230.0,82.0,leste,Sagrada Família,None,290,,
3265644,390000.0,114.98,-19.965172,-43.9833635,2,2,1,3,220.0,154.55,oeste,Palmeiras,None,290,,
3255981,395000.0,100.0,-19.8714233,-43.93421209999997,3,1,1,2,250.0,125.19,nordeste,Palmares,None,290,,
35111,398000.0,81.0,-19.985543600000003,-44.02706990000002,3,2,1,2,200.0,100.0,barreiro,Novo Diamante,None,290,,
3261838,398000.0,130.0,-19.9144426,-43.97444819999998,3,1,1,1,280.0,59.59,noroeste,Padre Eustáquio,None,290,,
35112,399000.0,81.0,-19.985543600000003,-44.02706990000002,3,2,1,2,200.0,100.0,barreiro,Diamante(barreiro),None,290,,
3215781,399999.99,99.59,-19.9568445,-43.99089190000001,3,2,0,1,0.0,27.37,oeste,Betânia,None,290,,
348509,400000.0,96.6,-19.936936300000003,-43.9778149,3,2,1,2,440.0,153.17,oeste,Nova Suíssa,None,290,,
363335,400000.0,110.08,-19.95834,-43.96684140000002,3,1,1,2,234.0,930.0,oeste,Estoril,None,290,,
2344031,400000.0,72.0,-19.8598915,-43.94176019999998,3,2,1,2,477.64,112.74,pampulha,Dona Clara,None,290,,
